,subject,item,transition_start,transition_end,transition_duration,transition_start_trial,transition_end_trial,transition_duration_trial
0,0,Pencil,-1,-1,-1,-1,-1,-1
1,0,Banana,-1,-1,-1,-1,-1,-1
2,0,Karate,-1,-1,-1,-1,-1,-1
3,0,Strawberry,-1,-1,-1,-1,-1,-1
7,0,Cards,-1,-1,-1,-1,-1,-1
8,0,Corn,-1,-1,-1,-1,-1,-1
11,0,Mouse,-1,-1,-1,-1,-1,-1
17,0,Coat,-1,-1,-1,-1,-1,-1
18,0,Sweater,-1,-1,-1,-1,-1,-1
22,0,Garlic,-1,-1,-1,-1,-1,-1
26,0,Frog,-1,-1,-1,-1,-1,-1
37,0,Dolphin,-1,-1,-1,-1,-1,-1
56,0,Clock,-1,-1,-1,-1,-1,-1
57,0,Camel,-1,-1,-1,-1,-1,-1
720,1,Pencil,37,-1,-1,366,-1,-1
721,1,Banana,-1,-1,-1,-1,-1,-1
722,1,Karate,-1,-1,-1,-1,-1,-1
723,1,Strawberry,34,51,17,175,254,79
727,1,Cards,18,44,26,263,661,398
728,1,Corn,16,-1,-1,484,-1,-1
731,1,Mouse,-1,-1,-1,-1,-1,-1
737,1,Coat,8,31,23,167,608,441
738,1,Sweater,31,38,7,155,204,49
742,1,Garlic,13,37,24,209,568,359
746,1,Frog,-1,-1,-1,-1,-1,-1
757,1,Dolphin,17,45,28,168,467,299
776,1,Clock,-1,-1,-1,-1,-1,-1
777,1,Camel,-1,-1,-1,-1,-1,-1
1440,2,Pencil,0,24,24,0,241,241
1441,2,Banana,0,-1,-1,1,-1,-1
1442,2,Karate,0,15,15,2,475,473
1443,2,Strawberry,0,4,4,3,15,12
1447,2,Cards,0,37,37,7,571,564
1448,2,Corn,0,-1,-1,8,-1,-1
1451,2,Mouse,0,13,13,11,414,403
1457,2,Coat,0,21,21,17,422,405
1458,2,Sweater,0,14,14,18,82,64
1462,2,Garlic,0,21,21,22,327,305
1466,2,Frog,0,19,19,26,599,573
1477,2,Dolphin,0,25,25,37,285,248
1496,2,Clock,0,-1,-1,56,-1,-1
1497,2,Camel,0,-1,-1,57,-1,-1
2160,3,Sweater,-1,-1,-1,-1,-1,-1
2161,3,Garlic,-1,-1,-1,-1,-1,-1
2162,3,Frog,-1,-1,-1,-1,-1,-1
2163,3,Clock,-1,-1,-1,-1,-1,-1
2167,3,Dolphin,-1,-1,-1,-1,-1,-1
2168,3,Mouse,-1,-1,-1,-1,-1,-1
2171,3,Coat,-1,-1,-1,-1,-1,-1
2177,3,Cards,-1,-1,-1,-1,-1,-1
2178,3,Camel,-1,-1,-1,-1,-1,-1
2182,3,Pencil,-1,-1,-1,-1,-1,-1
2186,3,Banana,-1,-1,-1,-1,-1,-1
2197,3,Strawberry,-1,-1,-1,-1,-1,-1
2216,3,Corn,-1,-1,-1,-1,-1,-1
2217,3,Karate,-1,-1,-1,-1,-1,-1
2880,4,Sweater,9,27,18,115,250,135
2881,4,Garlic,11,-1,-1,187,-1,-1
2882,4,Frog,5,13,8,127,406,279
2883,4,Clock,3,18,15,12,84,72
2887,4,Dolphin,3,-1,-1,16,-1,-1
2888,4,Mouse,17,-1,-1,487,-1,-1
2891,4,Coat,1,8,7,14,264,250
2897,4,Cards,5,-1,-1,108,-1,-1
2898,4,Camel,2,4,2,24,30,6
2902,4,Pencil,2,26,24,28,400,372
2906,4,Banana,-1,-1,-1,-1,-1,-1
2917,4,Strawberry,1,14,13,40,161,121
2936,4,Corn,-1,-1,-1,-1,-1,-1
2937,4,Karate,3,3,0,191,191,0
3600,5,Sweater,0,51,51,0,497,497
3601,5,Garlic,0,22,22,1,434,433
3602,5,Frog,0,20,20,2,613,611
3603,5,Clock,0,8,8,3,51,48
3607,5,Dolphin,0,9,9,7,135,128
3608,5,Mouse,0,11,11,8,355,347
3611,5,Coat,0,17,17,11,532,521
3617,5,Cards,0,21,21,17,422,405
3618,5,Camel,0,14,14,18,82,64
3622,5,Pencil,0,24,24,22,368,346
3626,5,Banana,0,16,16,26,508,482
3637,5,Strawberry,0,25,25,37,285,248
3656,5,Corn,0,-1,-1,56,-1,-1
3657,5,Karate,0,-1,-1,57,-1,-1
4320,6,Camel,-1,-1,-1,-1,-1,-1
4321,6,Pencil,-1,-1,-1,-1,-1,-1
4322,6,Banana,-1,-1,-1,-1,-1,-1
4323,6,Corn,-1,-1,-1,-1,-1,-1
4327,6,Strawberry,-1,-1,-1,-1,-1,-1
4328,6,Coat,-1,-1,-1,-1,-1,-1
4331,6,Cards,-1,-1,-1,-1,-1,-1
4337,6,Dolphin,-1,-1,-1,-1,-1,-1
4338,6,Karate,-1,-1,-1,-1,-1,-1
4342,6,Sweater,-1,-1,-1,-1,-1,-1
4346,6,Garlic,-1,-1,-1,-1,-1,-1
4357,6,Clock,-1,-1,-1,-1,-1,-1
4376,6,Mouse,-1,-1,-1,-1,-1,-1
4377,6,Frog,-1,-1,-1,-1,-1,-1
5040,7,Camel,0,33,33,0,311,311
5041,7,Pencil,0,19,19,1,373,372
5042,7,Banana,0,7,7,2,188,186
5043,7,Corn,0,14,14,3,69,66
5047,7,Strawberry,0,20,20,7,307,300
5048,7,Coat,0,13,13,8,404,396
5051,7,Cards,0,-1,-1,11,-1,-1
5057,7,Dolphin,0,-1,-1,17,-1,-1
5058,7,Karate,0,10,10,18,52,34
5062,7,Sweater,0,26,26,22,400,378
5066,7,Garlic,0,20,20,26,645,619
5077,7,Clock,0,10,10,37,101,64
