name;value;min;max;step;freedom;comment
ALPHA_IMPLICIT;0.01;0;1.0;0.001;1; Implicit learning rate Hotkey knowledge gained (Menu Strategy)
ALPHA_EXPLICIT;0.1;0;1.0;0.01;1; Explicit learning rate Explicit (Learning Strategy)
BETA;6;1;10;2;1; Inverse Temperature
HORIZON;3;0;7.1;1;1; Depth of thinking, i.e. how many trial do I see in advance
DECAY;0.0001;0.0;0.02;0.0001;1; Decay factor, i.e. how users quickly forget.
PERSEVERATION;0.3;0.0;1.0;0.01;1; degree of perseveration.
DISCOUNT;0.9;0.8;1;0.01;0; Discount factor
MENU_TIME;2.;0.05;3.;0.05;0; Minimum menu selection time
HOTKEY_TIME;0.9;0.05;2.;0.05;0; Minimum hotkey selection time
LEARNING_COST;1.8;0.05;2;0.05;0; Temporal cost of learning hotkeys
ERROR_COST;3.;0.05;5;0.05;0; Temporal cost of an eror
